esp1;modo;esp2
Diptera;DEPRD;moscas blancas
Diptera;PARAS;moscas blancas
Dipteros;PARAS;Plaga
Drosophilidae;;moscas blancas
Dyciphus spp.;DEPRD;Frankliniella occidentalis
Elasmus flabellatus;PARAS;Prays oleae
Elasmus steffani;PARAS;Prays oleae
Encarsia;PARAS;moscas blancas
Encarsia acaudaleyrodis;PARAS;moscas blancas
Encarsia azimi;PARAS;moscas blancas
Encarsia citrina;PARAS;Aspidiotus nerii
Encarsia citrina;PARAS;Lepidosaphes beckii
Encarsia citrina;PARAS;Parlatoria pergandii
Encarsia dichroa;PARAS;moscas blancas
Encarsia formosa;PARAS;moscas blancas
Encarsia guadeloupae;PARAS;moscas blancas
Encarsia hispida;PARAS;moscas blancas
Encarsia inaron;PARAS;moscas blancas
Encarsia inquirenda;PARAS;Parlatoria pergandii
Encarsia lutea;PARAS;moscas blancas
Encarsia pergandiella;PARAS;moscas blancas
Encarsia perniciosi;PARAS;Aonidiella aurantii
Encarsia perniciosi;PARAS;Quadraspidiotus perniciosus
Encarsia perniciosi;PARAS;Quadraspidiotus perniciosus
Encarsia sophia;PARAS;moscas blancas
Encarsia sp;PARAS;Mosca blanca
Encarsia tricolor;PARAS;moscas blancas
Encyrtidae;PARAS;moscas blancas
Eretmocerus;PARAS;moscas blancas
Eretmocerus debachi;PARAS;Parabemisia myricae
Eretmocerus eremicus;PARAS;moscas blancas
Eretmocerus mundus;PARAS;moscas blancas
Eublema scitula;DEPRD;Ceroplastes sinensis
Eublema scitula;DEPRD;Coccus hesperidium
Eublema scitula;DEPRD;Saissetia oleae
Euderomphale;PARAS;moscas blancas
Exochomus quadripostulatus;DEPRD;Ceroplastes sinensis
Exochomus quadripostulatus;DEPRD;Coccus hesperidium
Exochomus quadripostulatus;DEPRD;Pulvinaria floccifera
Exochomus quadripustulatus;DEPRD;Lepidosaphes beckii
Exochomus quadripustulatus;DEPRD;Saissetia oleae
Exochomus quadrispustulatus;DEPRD;Aonidiella aurantii
Fitoseidos;;Frankliniella occidentalis
Forticula auricularia;DEPRD;mosca del mediterráneo
Franklinothrips spp.;DEPRD;Frankliniella occidentalis
Franklinothrips spp.;DEPRD;Frankliniella occidentalis
Franklinothrips spp.;DEPRD;Heliothrips haemorrhoidalis
Franklinothrips spp.;DEPRD;Thrips tabaci
Geocoris pallens;DEPRD;Frankliniella occidentalis
Hemerobiidae;;moscas blancas
Hemiptera;DEPRD;moscas blancas
Hemisarcoptes coccophagus;DEPRD;Aonidiella aurantii
Hemisarcoptes malus;DEPRD;Quadraspidiotus perniciosus
Hemisarcoptes spp.;DEPRD;Aspidiotus nerii
Hemisarcoptes spp.;DEPRD;Lepidosaphes beckii
Hemisarcoptes spp.;DEPRD;Parlatoria pergandii
Himenópteros;PARAS;Plaga
Hipoaspis spp.;DEPRD;Frankliniella occidentalis
Hipoaspis spp.;DEPRD;Thrips tabaci
Hymenoptera;PARAS;moscas blancas
Hypoaspis sp;DEPRD;Trips
Hyposoter didimator;PARAS;rosquillas negra y verde
Ichneumónidos;PARAS;Plaga
Insectos parásitos;PARAS;Plaga
Insectos predadores;DEPRD;Insectos plaga
Iphiseius degenerans;DEPRD;Frankliniella occidentalis
Lepidoptera;PARAS;moscas blancas
Leptamastix dactylopii;DEPRD;Planococcus citri
Leptomastix algirica;PARAS;Phenacoccus solani
Leptomastix dactylopii;PARAS;Planococcus citri
Leptomastix dactylopii;PARAS;Planococcus citri
Leptomastoidea abnormis;PARAS;Planococcus citri
Lestodiplosis aonidielae;DEPRD;Aonidiella aurantii
Lestodiplosis sp.;DEPRD;Parlatoria pergandii
Leucopis griseola;DEPRD;Planococcus citri
Lysiphlebus testaceipes;PARAS;Aphis fabae
Lysiphlebus testaceipes;PARAS;Aphis gossypii
Lysiphlebus testaceipes;PARAS;Toxoptera aurantii
Macrolophus caliginosus;DEPRD;Frankliniella occidentalis
Macrolophus caliginosus;DEPRD;Liriomyza bryoniae
Macrolophus caliginosus;DEPRD;Liriomyza trifolii
Macrolophus caliginosus;DEPRD;Mosca blanca
Macrolophus caliginosus;DEPRD;Orugas
Macrolophus caliginosus;DEPRD;Trips
Macrolophus caliginosus;DEPRD;Tuta absoluta
Macrolophus melanotoma;;moscas blancas
Macrolophus spp.;DEPRD;Frankliniella occidentalis
Macrolophus spp.;DEPRD;Thrips tabaci
Megaphragma spp.;PARAS;Heliothrips haemorrhoidalis
Metaphicus bartletti;PARAS;Saissetia oleae
Metaphicus helvolus;PARAS;Saissetia oleae
Metaphycus;PARAS;moscas blancas
Metaphycus flavus;PARAS;Coccus hesperidium
Metaphycus flavus;PARAS;Coccus hesperidium
Metaphycus flavus;PARAS;Saissetia oleae
Metaphycus helvolus;PARAS;Ceroplastes sinensis
Metaphycus helvolus;PARAS;Saissetia oleae
Metaphycus lounsburyi;PARAS;Saissetia oleae
Metaphycus luteolus;PARAS;Coccus hesperidium
Meteorus pulchricornis;PARAS;rosquillas negra y verde
Mhyrra octodecimguttata;DEPRD;Palaeococcus fuscipennis
Microterys nietneri;PARAS;Ceroplastes sinensis
Microterys nietneri;PARAS;Coccus hesperidium
Montandoniella moraguesi;DEPRD;Gynaikothrips ficorum
Moranila comperei;PARAS;moscas blancas
Muscidae;;moscas blancas
Nabis alternatus;DEPRD;Frankliniella occidentalis
Nabis alternatus;DEPRD;Thrips tabaci
Nabis ferus;DEPRD;Frankliniella occidentalis
Nabis ferus;DEPRD;Thrips tabaci
Nabis pseudoferus;DEPRD;Frankliniella occidentalis
Nabis pseudoferus;DEPRD;rosquillas negra y verde
Nabis pseudoferus;DEPRD;Thrips tabaci
Nabis punctatus;DEPRD;Frankliniella occidentalis
Nabis punctatus;DEPRD;Thrips tabaci
Necremnus tutae;PARAS;Tuta absoluta
Neochrysocharis formosa;PARAS;Liriomyza bryoniae
Neochrysocharis formosa;PARAS;Liriomyza trifolii
Neochrysocharis formosa;PARAS;Tuta absoluta
Neoseilus spp.;DEPRD;Frankliniella occidentalis
Neoseilus spp.;DEPRD;Heliothrips haemorrhoidalis
Neoseilus spp.;DEPRD;Thrips simplex
Neoseilus spp.;DEPRD;Thrips tabaci
Neoseiulus barkeri;DEPRD;Frankliniella occidentalis
Neoseiulus barkeri;DEPRD;Thrips tabaci
Nesidiocoris tenuis;DEPRD;Araña Roja
Nesidiocoris tenuis;DEPRD;Frankliniella occidentalis
Nesidiocoris tenuis;DEPRD;Frankliniella occidentalis
Nesidiocoris tenuis;DEPRD;Mosca blanca
Nesidiocoris tenuis;;moscas blancas
Nesidiocoris tenuis;DEPRD;Orugas
Nesidiocoris tenuis;DEPRD;Trips
Nesidiocoris tenuis;DEPRD;Tuta absoluta
Neuroptera;DEPRD;moscas blancas
Novius cruentatus;DEPRD;Palaeococcus fuscipennis
Opius concolor;PARAS;Ceratitis capitata
Opius concolor;PARAS;Dacus
Opius humilis;PARAS;Ceratitis capitata
Orius albidipennis;DEPRD;Frankliniella occidentalis
